-0.029497+0.035401i,0.036304-0.047485i,-0.047785+0.069281i,0.072069-0.11905i,-0.16734+0.33217i,-0.22873+0.62756i,0.022776-0.20487i,0.34887+0.40661i,0.091037-0.022493i,-0.071761+0.015767i,-0.067796-0.12775i,0.0051308+0.06204i,-0.0034947-0.054006i
0.047886-0.052006i,-0.059325+0.063677i,0.078852-0.083572i,-0.1208+0.12635i,0.28873-0.29843i,0.42416-0.43859i,-0.069386+0.081576i,-0.36374+0.18871i,-0.11633+0.06185i,0.087442-0.011308i,0.050985+0.11533i,0.0054376-0.038018i,-0.0044014+0.022979i
-0.033968+0.050578i,0.046241-0.059203i,-0.068279+0.07312i,0.11826-0.10117i,-0.33015+0.2059i,-0.6135+0.21401i,0.18522+0.014243i,-0.1712-0.48485i,0.08287-0.061237i,-0.090783-0.0067335i,-0.029756-0.098277i,-0.030204+0.014887i,0.034274+0.0031796i
0.010636-0.015214i,-0.021957+0.017231i,0.043431-0.020192i,-0.094664+0.025456i,0.32197-0.042174i,0.72381-0.015361i,-0.2773-0.022764i,0.62928+0.15069i,-0.058339-0.0031808i,0.099991+0.036618i,0.0020923+0.087158i,0.062194-0.0086147i,-0.072599-0.0041001i
-0.0054262-0.04072i,0.016254+0.046749i,-0.036894-0.056548i,0.086161+0.076555i,-0.3039-0.15255i,-0.69142-0.15616i,0.2583-0.010159i,-0.46511+0.37506i,0.090068+0.066198i,-0.11898-0.049423i,0.020916-0.099409i,-0.081328+0.030808i,0.092184-0.028144i
0.025208+0.085784i,-0.035972-0.097876i,0.055349+0.11745i,-0.09911-0.1575i,0.28233+0.31173i,0.51972+0.32961i,-0.13902-0.0043983i,-0.12793-0.42681i,-0.13102-0.053867i,0.11601+0.025695i,-0.011026+0.13604i,0.060023-0.071929i,-0.064756+0.076172i
-0.05244-0.09658i,0.061612+0.11102i,-0.076789-0.13501i,0.10835+0.18594i,-0.23048-0.39178i,-0.27369-0.50559i,0.010185+0.092531i,0.46197-0.075744i,0.091274-0.014056i,-0.055615+0.0073168i,-0.050323-0.16529i,0.01163+0.096092i,-0.014011-0.099712i
0.063211+0.073254i,-0.067955-0.087214i,0.074654+0.11147i,-0.086422-0.16548i,0.12548+0.3942i,0.02303+0.63797i,0.058266-0.19163i,-0.19336+0.53942i,0.04184+0.035069i,-0.048348+0.0061852i,0.13951+0.14437i,-0.10356-0.065854i,0.10846+0.063505i
-0.046598-0.033279i,0.045076+0.045647i,-0.040941-0.068184i,0.029485+0.12018i,0.022363-0.34496i,0.20083-0.6731i,-0.07944+0.22716i,-0.27549-0.43169i,-0.16624+0.053788i,0.12724-0.086966i,-0.19623-0.066029i,0.15763-0.018817i,-0.15979+0.02748i
0.008421-0.0048192i,-0.0010346-0.005269i,-0.012789+0.024402i,0.044603-0.069388i,-0.1775+0.2631i,-0.39382+0.59633i,0.10735-0.19306i,0.31555-0.073249i,0.16814-0.18762i,-0.11891+0.18413i,0.17341-0.020975i,-0.13334+0.1082i,0.13061-0.12096i
0.037753+0.030484i,-0.049307-0.024093i,0.069771+0.011249i,-0.11559+0.019874i,0.30769-0.15455i,0.54249-0.43385i,-0.15427+0.14106i,0.1407+0.32881i,-0.051193+0.23282i,0.0335-0.21547i,-0.084381+0.047837i,0.046534-0.13795i,-0.039224+0.15323i
-0.07838-0.039672i,0.092649+0.038464i,-0.11716-0.034813i,0.17106+0.023919i,-0.39687+0.029297i,-0.61582+0.21747i,0.17532-0.10261i,-0.52001-0.030372i,-0.061924-0.13295i,0.051459+0.14814i,-0.0046238+0.012077i,0.039934+0.083696i,-0.051413-0.1005i
