0.0052151-0.0049831i,-0.0020334+0.0040546i,-0.0037923-0.0023245i,0.016151-0.0012806i,-0.05295+0.011427i,0.78932-0.1962i,0.12799-0.026894i,-0.070935-0.0017758i,-0.10709+0.35375i,-0.10518+0.088286i,0.122-0.082824i,0.17871-0.12076i,0.017578-0.00088926i
-0.010342-0.0033262i,0.0093556+0.0066954i,-0.0073437-0.01264i,0.0028865+0.024937i,0.010247-0.061018i,-0.25839+0.7788i,-0.043763+0.1152i,0.0099353-0.060034i,0.34987-0.10658i,0.092058-0.09411i,-0.058496+0.11681i,0.1814+0.21618i,-0.1091+0.015243i
0.0097641-0.0011394i,-0.0098254-0.0022487i,0.0097304+0.0083708i,-0.0093523-0.021245i,0.0084298+0.059348i,-0.0060515-0.81838i,0.0016803-0.12604i,0.013585+0.064652i,-0.32212+0.18248i,-0.059517+0.1191i,0.023549-0.13602i,-0.18543-0.17704i,0.075992-0.046693i
-0.0078835+0.0036083i,0.0089512-0.00041344i,-0.010736-0.005408i,0.014409+0.017689i,-0.025693-0.053975i,0.26916+0.77266i,0.041591+0.1197i,-0.037526-0.057752i,0.27709-0.25552i,0.021855-0.12892i,0.015263+0.13863i,0.18284+0.15268i,-0.037801+0.051627i
0.0066365-0.0043904i,-0.0086965+0.0016338i,0.01228+0.003379i,-0.01973-0.01389i,0.042131+0.044635i,-0.50529-0.64565i,-0.078243-0.097892i,0.055574+0.041129i,-0.21206+0.31985i,0.012601+0.12498i,-0.048275-0.12696i,-0.1854-0.13995i,0.012899-0.036065i
-0.0068999+0.00513i,0.0098781-0.003147i,-0.015041-0.00047644i,0.025655+0.0080447i,-0.05697-0.029898i,0.69004+0.44836i,0.10303+0.065987i,-0.06417-0.01994i,0.12829-0.36701i,-0.039151-0.11315i,0.070551+0.1087i,0.19832+0.12875i,-0.0090532+0.016758i
0.0078544-0.0075253i,-0.011503+0.0066955i,0.017771-0.0050404i,-0.030493+0.0014449i,0.06744+0.0089204i,-0.80218-0.1994i,-0.11473-0.030419i,0.063884-0.00019465i,-0.03224+0.38945i,0.058508+0.099692i,-0.084022-0.091706i,-0.21754-0.10914i,0.019235-0.0097941i
-0.0075201+0.012003i,0.01137-0.012611i,-0.017976+0.013325i,0.031322-0.014342i,-0.069773+0.016867i,0.82668-0.075241i,0.1153-0.0040243i,-0.058282+0.016088i,-0.066131-0.38396i,-0.075034-0.087365i,0.095106+0.079054i,0.2331+0.078114i,-0.027259+0.019951i
0.0041068-0.017228i,-0.007542+0.019314i,0.013537-0.022435i,-0.025787+0.02808i,0.061256-0.04335i,-0.75821+0.34439i,-0.10765+0.035379i,0.051128-0.028067i,0.15707+0.35283i,0.09271+0.074113i,-0.1095-0.067502i,-0.23641-0.041496i,0.019413-0.037838i
0.0027077+0.02078i,-0.00027952-0.024068i,-0.0042+0.029193i,0.013731-0.038767i,-0.042031+0.065007i,0.60336-0.57601i,0.093372-0.063618i,-0.043833+0.038647i,-0.2343-0.30209i,-0.1116-0.05525i,0.12765+0.050398i,0.22643+0.0098297i,0.0057327+0.046664i
-0.0092585-0.013421i,0.010043+0.018279i,-0.011222-0.026193i,0.013416+0.041275i,-0.019654-0.081991i,0.1488+0.83426i,0.01532+0.089287i,-0.012529-0.015199i,0.12687-0.37665i,0.014322-0.070009i,0.0091738+0.0064442i,0.13853-0.31617i,-0.028131+0.092731i
0.013843+0.011335i,-0.016162-0.015777i,0.019825+0.022997i,-0.026737-0.036687i,0.045719+0.073337i,-0.41146-0.74332i,-0.043729-0.076974i,0.018904+0.0075613i,-0.034963+0.39994i,0.0042338+0.067442i,-0.01417-0.00025102i,-0.096208+0.32441i,0.022107-0.083599i
-0.018141-0.0062985i,0.02181+0.0097353i,-0.027638-0.015362i,0.03861+0.026055i,-0.068384-0.05456i,0.63134+0.56983i,0.065642+0.05861i,-0.021347-0.00073531i,-0.061636-0.39749i,-0.019783-0.064618i,0.015503-0.0017821i,0.056755-0.33519i,-0.022775+0.088548i
0.019803-0.0013313i,-0.024351-0.00062113i,0.031626+0.0039323i,-0.045367-0.010355i,0.082595+0.027524i,-0.78185-0.33237i,-0.081859-0.036317i,0.023011-0.004413i,0.15312+0.3692i,0.036723+0.061792i,-0.01987-0.00035998i,-0.011005+0.34804i,0.013744-0.10678i
-0.017279+0.0094488i,0.02205-0.0091857i,-0.029796+0.0085303i,0.0446-0.0070333i,-0.085003+0.0029812i,0.84476+0.058684i,0.092751+0.010124i,-0.025911+0.01003i,-0.23151-0.31996i,-0.057419-0.054918i,0.031207+0.00097843i,-0.04623-0.35461i,0.014875+0.12463i
