0.020481-0.0016487i,-0.024742-0.0010735i,0.031365+0.0059055i,-0.042972-0.015487i,0.068194+0.038883i,-0.1612-0.13505i,-0.54995-0.66646i,0.11686+0.21691i,-0.12045-0.4767i,0.017062-0.074115i,-0.019148+0.00205i,0.14813+0.089732i,-0.025243-0.030375i
0.026653-0.028148i,-0.031921+0.030886i,0.040195-0.034742i,-0.054987+0.040871i,0.088169-0.053041i,-0.21613+0.094734i,-0.81061+0.21094i,0.21877-0.020848i,-0.46516+0.0086975i,-0.10069+0.015942i,0.033592-0.017399i,0.02429+0.16473i,0.015102-0.036484i
0.012087-0.025544i,-0.013491+0.030836i,0.015441-0.039221i,-0.018496+0.054333i,0.024507-0.088455i,-0.045174+0.22057i,-0.10934+0.84067i,0.016384-0.22824i,-0.036531+0.47191i,-0.022903+0.090709i,0.017619-0.020583i,-0.083155+0.14305i,0.026516-0.013095i
-0.00555-0.0022361i,0.0091117+0.0050919i,-0.015145-0.0097963i,0.026661+0.018474i,-0.053915-0.038181i,0.16324+0.1135i,0.73341+0.47613i,-0.22362-0.12305i,0.47228+0.15795i,0.074289-0.021843i,-0.006315+0.035657i,-0.14925+0.017584i,0.02736+0.035765i
-0.016791+0.022061i,0.02194-0.024786i,-0.030036+0.028973i,0.044385-0.036404i,-0.075925+0.053276i,0.19363-0.12043i,0.71668-0.44038i,-0.16891+0.13329i,0.22041-0.38929i,-0.0070836-0.13103i,0.022104+0.062551i,-0.16252-0.10319i,0.031283+0.049703i
-0.012943+0.032539i,0.014174-0.038954i,-0.015566+0.048801i,0.016992-0.065903i,-0.017641+0.10294i,0.010216-0.24005i,-0.13474-0.81881i,0.099251+0.18336i,-0.36982-0.26188i,-0.10734-0.018743i,0.033401-0.0073441i,-0.078314-0.12701i,0.0065254+0.004314i
0.0066855+0.016764i,-0.011442-0.020278i,0.019275+0.025433i,-0.033759-0.03379i,0.066838+0.050128i,-0.19441-0.10222i,-0.81498-0.23429i,0.21835-0.010412i,-0.33705+0.28743i,0.00029623+0.14424i,-0.036648-0.075612i,0.088041-0.087815i,-0.050997-0.036098i
-0.0027674-0.042983i,0.0015019+0.051336i,0.00060783-0.063806i,-0.0044255+0.084603i,0.012608-0.1271i,-0.040674+0.27236i,-0.14877+0.75547i,0.013422-0.078008i,0.13731-0.27055i,0.099695-0.18643i,-0.060808+0.097789i,0.18039-0.14768i,-0.059387+0.06043i
-0.044546-0.047127i,0.052061+0.052999i,-0.063071-0.06141i,0.081086+0.074883i,-0.1172-0.1014i,0.23845+0.18924i,0.60774+0.42049i,-0.044547-0.015067i,-0.27241-0.20174i,-0.15359-0.081918i,0.074807+0.026036i,0.099276+0.024112i,0.021672-0.0084827i
-0.036384+0.0028444i,0.043489-0.006542i,-0.054164+0.012354i,0.072109-0.022444i,-0.10913+0.043586i,0.23715-0.11619i,0.67944-0.38812i,-0.082074+0.044237i,-0.18482+0.22276i,-0.14928+0.17147i,0.084514-0.10361i,0.02421+0.20821i,0.045318-0.088178i
0.0226+0.037859i,-0.02488-0.045784i,0.027844+0.057769i,-0.031979-0.078034i,0.038573+0.12005i,-0.053949-0.26589i,-0.005912-0.78014i,-0.063195+0.098743i,0.27589+0.20539i,0.07624+0.17441i,-0.019182-0.09717i,-0.017985+0.22193i,0.010197-0.071846i
0.060707+0.016936i,-0.06947-0.018953i,0.082203+0.022043i,-0.1029-0.027494i,0.14423+0.039728i,-0.28297-0.087614i,-0.68951-0.30554i,0.046897+0.085873i,0.27951-0.23392i,0.14289-0.077215i,-0.060842+0.039244i,-0.084052+0.064132i,-0.0057014+0.022776i
0.028885-0.020287i,-0.033514+0.025888i,0.040596-0.034441i,-0.05289+0.048962i,0.079597-0.078951i,-0.17911+0.18143i,-0.59567+0.53459i,0.13507-0.052511i,-0.22364-0.27416i,-0.034994-0.19328i,0.0069984+0.11204i,-0.15422-0.097759i,0.016125+0.079844i
-0.032606-0.019197i,0.036908+0.024688i,-0.042939-0.033435i,0.052258+0.049119i,-0.069537-0.083917i,0.12148+0.21453i,0.19503+0.79653i,0.04565-0.1865i,-0.36509+0.22361i,-0.13549-0.024881i,0.050001+0.038405i,-0.12831-0.14795i,0.018339+0.0478i
-0.051256+0.01165i,0.058692-0.012638i,-0.069756+0.013732i,0.088363-0.014755i,-0.12735+0.014724i,0.26708-0.0050948i,0.78493+0.14794i,-0.1396-0.10415i,0.13145+0.40295i,0.0040776+0.12959i,-0.0041782-0.052677i,0.0093253-0.11825i,-0.018804-0.01129i
-0.015603+0.0233i,0.018074-0.028683i,-0.021999+0.037091i,0.029195-0.05187i,-0.046002+0.083998i,0.11433-0.20209i,0.46292-0.69551i,-0.14923+0.14405i,0.42424-0.10881i,0.12898+0.050506i,-0.054136-0.047749i,0.13916-0.067452i,-0.040936-0.033797i
0.024469+0.0016669i,-0.028494-0.0050578i,0.034553+0.010915i,-0.044823-0.022272i,0.066374+0.04948i,-0.14307-0.15957i,-0.42619-0.74756i,0.070137+0.23321i,-0.013546-0.48974i,0.03059-0.069111i,-0.015243-0.0039346i,0.15815+0.0086245i,-0.014966-0.02927i
0.031117-0.021075i,-0.036827+0.022854i,0.045701-0.025259i,-0.061398+0.028871i,0.096258-0.035495i,-0.2295+0.055868i,-0.83314+0.077106i,0.21762+0.015286i,-0.45556-0.084289i,-0.10256-0.013304i,0.039183-0.0040078i,0.08999+0.10336i,0.018197-0.02235i
0.012379-0.019794i,-0.014421+0.024637i,0.017472-0.032434i,-0.022663+0.046676i,0.033798-0.079185i,-0.07528+0.20598i,-0.25172+0.81575i,0.061796-0.22659i,-0.13799+0.45918i,-0.04127+0.077028i,0.021771-0.0090514i,0.0040129+0.14363i,0.019174-0.0010011i
