-0.049424-0.019269i,0.052457+0.02015i,-0.056422-0.020518i,0.063202+0.01812i,-0.60759+0.69802i,0.057289+0.044802i,-0.068747-0.04847i,0.012373-0.079463i,-0.075524-0.032162i,0.094705+0.03985i,-0.18742-0.036861i,0.030317+0.065968i,-0.068584-0.074215i
0.045805-0.012008i,-0.049135+0.013092i,0.053502-0.015036i,-0.060905+0.020209i,0.63099-0.72064i,-0.055997+0.0037091i,0.070213-0.013125i,0.034522-0.074694i,0.069738-0.0041354i,-0.089432+0.014101i,0.16481-0.069767i,-0.048793-0.039315i,0.084331+0.02398i
-0.027514+0.027856i,0.029789-0.030146i,-0.032874+0.033449i,0.03869-0.040103i,-0.63061+0.72201i,0.026272-0.028268i,-0.029032+0.040239i,0.14759+0.044243i,-0.059589+0.039106i,0.064953-0.056451i,-0.095113+0.14371i,0.056356+0.011387i,-0.076006+0.020886i
0.012771-0.030269i,-0.014112+0.032769i,0.016173-0.036184i,-0.020946+0.042671i,0.63517-0.70282i,-0.0052764+0.028995i,0.0079243-0.032291i,-0.074488+0.1693i,0.022673-0.069922i,-0.020471+0.082109i,-0.0014023-0.16967i,-0.051354+0.017704i,0.049538-0.05478i
-0.0019009+0.032405i,0.0024754-0.035157i,-0.0037761+0.038877i,0.0079482-0.045702i,-0.64457+0.68451i,-0.0081614-0.034758i,-0.001097+0.042173i,-0.13994-0.08366i,0.025321+0.06349i,-0.029451-0.076112i,0.094378+0.13854i,0.033539-0.041037i,-0.011475+0.071276i
-0.015375-0.031619i,0.016188+0.034189i,-0.016515-0.037746i,0.014254+0.04443i,0.64174-0.66071i,0.037621+0.035851i,-0.036853-0.049695i,0.043689-0.089578i,-0.048267-0.036903i,0.063293+0.048397i,-0.15368-0.066041i,-0.0055076+0.055194i,-0.030695-0.068491i
0.033942+0.015558i,-0.035815-0.016613i,0.037373+0.018318i,-0.036544-0.022587i,-0.6386+0.6122i,-0.065829-0.0069605i,0.072802+0.010077i,0.063584-0.039724i,0.064074+0.015908i,-0.085321-0.011643i,0.17166-0.025407i,-0.033478-0.051531i,0.071855+0.041687i
-0.037871+0.013901i,0.039325-0.014681i,-0.040248+0.015121i,0.038364-0.013495i,0.65873-0.54866i,0.063507-0.035774i,-0.060792+0.040823i,0.12328+0.088503i,-0.081242+0.028112i,0.090966-0.045104i,-0.14089+0.12452i,0.066699+0.014714i,-0.092885+0.015491i
0.020263-0.04234i,-0.020468+0.044145i,0.019916-0.045617i,-0.016193+0.045007i,-0.70255+0.49162i,-0.036841+0.066192i,0.028796-0.064121i,-0.14598+0.15541i,0.050198-0.09291i,-0.048639+0.10748i,0.046391-0.19996i,-0.060312+0.04251i,0.065056-0.082152i
0.015033+0.054845i,-0.016332-0.057073i,0.018459+0.059014i,-0.023804-0.058996i,0.76237-0.45147i,-0.0038911-0.080249i,0.0057175+0.078389i,-0.11832-0.17972i,0.031499+0.10925i,-0.03615-0.12235i,0.087694+0.19917i,0.01041-0.075562i,0.007837+0.11136i
-0.053719-0.038816i,0.056922+0.04051i,-0.061205-0.041994i,0.069079+0.041786i,-0.82816+0.44223i,0.054988+0.063779i,-0.062141-0.069997i,0.13958-0.053098i,-0.091231-0.058799i,0.10569+0.072094i,-0.1926-0.10942i,0.043997+0.060179i,-0.080008-0.079602i
0.069912-0.0032265i,-0.074241+0.0036486i,0.07991-0.0045479i,-0.089626+0.0074179i,0.86789-0.46787i,-0.081585-0.0058987i,0.099561+0.004479i,0.029379+0.036979i,0.098869-0.0042958i,-0.12295+0.0052641i,0.2178-0.0238i,-0.067391-0.01484i,0.10857+0.0093605i
-0.048822+0.043346i,0.052133-0.046021i,-0.056618+0.049514i,0.064941-0.055388i,-0.85701+0.49231i,0.051387-0.052698i,-0.062112+0.066089i,0.060741+0.072065i,-0.077604+0.056421i,0.092369-0.074307i,-0.15938+0.14365i,0.05329-0.030276i,-0.083178+0.059105i
-0.045035+0.049354i,0.046471-0.051453i,-0.047257+0.053402i,0.044853-0.053804i,0.7236-0.40511i,0.07116-0.076032i,-0.06585+0.082224i,0.17628+0.010126i,-0.093464+0.080266i,0.10036-0.09952i,-0.13886+0.18712i,0.087314-0.040714i,-0.11207+0.077391i
0.0012607-0.070987i,-0.00070046+0.073822i,-0.00072789-0.076485i,0.0056461+0.077556i,-0.79263+0.35379i,-0.015576+0.0977i,0.0077427-0.096053i,-0.079132+0.22874i,0.018343-0.13496i,-0.015155+0.15018i,-0.00066837-0.24314i,-0.036207+0.091879i,0.036226-0.13573i
0.045091+0.058028i,-0.047553-0.060549i,0.050989+0.062947i,-0.057995-0.063931i,0.86165-0.33947i,-0.038889-0.083563i,0.041697+0.084852i,-0.18559-0.13487i,0.07702+0.1078i,-0.084275-0.12213i,0.14763+0.19208i,-0.033689-0.08597i,0.057876+0.12219i
-0.071262-0.017541i,0.075351+0.018621i,-0.080696-0.019564i,0.090051+0.019246i,-0.91046+0.35683i,0.077523+0.036582i,-0.088835-0.043102i,0.11111-0.098328i,-0.11205-0.026328i,0.13061+0.037477i,-0.22363-0.061743i,0.070961+0.035222i,-0.11135-0.051258i
0.062929-0.028961i,-0.067216+0.03033i,0.07291-0.03218i,-0.082908+0.03569i,0.91721-0.38693i,-0.07324+0.029244i,0.09171-0.034128i,0.04168+0.018111i,0.090266-0.037139i,-0.11419+0.043426i,0.2057-0.076524i,-0.063276+0.016636i,0.10507-0.027073i
-0.027986+0.053753i,0.030592-0.056806i,-0.034337+0.060599i,0.042012-0.066329i,-0.88502+0.39113i,0.0241-0.068034i,-0.031536+0.081197i,0.087735+0.047699i,-0.053984+0.074995i,0.06451-0.094677i,-0.12019+0.17309i,0.032029-0.045343i,-0.059258+0.077567i
-0.0063508-0.048926i,0.0056223+0.051906i,-0.0040106-0.055506i,-0.0012211+0.060717i,0.85197-0.35484i,0.024014+0.06028i,-0.023323-0.064696i,-0.10084+0.15044i,0.00020334-0.096034i,0.0022721+0.11204i,0.00070567-0.20576i,0.003664+0.049276i,0.00027099-0.090306i
0.024484+0.031385i,-0.024801-0.033686i,0.024257+0.036506i,-0.019998-0.040713i,-0.83975+0.30365i,-0.045774-0.038944i,0.038206+0.041061i,-0.14212-0.15005i,0.06057+0.073497i,-0.065757-0.086026i,0.11284+0.16594i,-0.029956-0.032496i,0.049205+0.068619i
-0.032978-0.013652i,0.034234+0.015167i,-0.034782-0.017191i,0.031792+0.020594i,0.83498-0.25275i,0.06154+0.020557i,-0.057218-0.0301i,0.13938-0.087979i,-0.082544-0.019154i,0.095849+0.031653i,-0.17984-0.074158i,0.037861+0.0087201i,-0.074322-0.028529i
0.036273-0.0076688i,-0.038141+0.0077922i,0.0395-0.0077032i,-0.037633+0.0067276i,-0.83487+0.19181i,-0.072894+0.012384i,0.078736-0.0096082i,0.051571+0.059476i,0.071825-0.019195i,-0.094406+0.019759i,0.18961-0.031795i,-0.035944+0.0095012i,0.077934-0.013699i
-0.027485+0.032443i,0.028536-0.034436i,-0.028897+0.036602i,0.025738-0.038532i,0.85495-0.12534i,0.056738-0.052259i,-0.055932+0.06161i,0.040859+0.076814i,-0.063598+0.050353i,0.077821-0.067614i,-0.14927+0.13175i,0.032214-0.029927i,-0.064407+0.057363i
0.0037565-0.050821i,-0.0030744+0.053568i,0.0013793-0.056522i,0.0043171+0.059312i,-0.89363+0.072843i,-0.018756+0.072113i,0.0075103-0.076697i,-0.15111+0.09677i,0.031888-0.096542i,-0.031117+0.11446i,0.054293-0.20607i,-0.011358+0.056282i,0.022281-0.096697i
