-0.028998+0.0063591i,0.032245-0.0066668i,-0.036708+0.0069464i,0.043483-0.0070778i,-0.055759+0.0065957i,0.088629-0.0027788i,-0.96475-0.17393i,-0.054189-0.047748i,0.028076+0.082554i,0.084958+0.14844i,-0.052849-0.038317i,0.071444+0.038293i,0.021412+0.086914i
-0.0087605-0.03166i,0.010218+0.034922i,-0.012265-0.039332i,0.015401+0.045909i,-0.02099-0.057641i,0.035025+0.088787i,-0.36328-0.92201i,-0.0047916-0.049853i,-0.04658+0.035766i,-0.14453+0.13382i,0.047868-0.073463i,-0.049862+0.086706i,-0.095823-0.021919i
-0.020635+0.019749i,0.022931-0.022266i,-0.026103+0.025715i,0.03097-0.030883i,-0.039971+0.039976i,0.064927-0.062981i,-0.76198+0.62486i,-0.056894+0.015163i,0.058915+0.039774i,0.15422+0.097661i,-0.068684-0.019167i,0.081085+0.014549i,0.034602+0.098055i
0.021708+0.0082181i,-0.024647-0.0093425i,0.028725+0.010987i,-0.034941-0.013693i,0.04613+0.019126i,-0.075359-0.035587i,0.81917+0.53317i,0.035588+0.058647i,0.017314-0.077321i,0.057874-0.16336i,-0.0049445+0.058363i,-0.0044343-0.067631i,0.065904-0.082787i
0.00035839-0.017662i,-0.00049177+0.020522i,0.00077334-0.024599i,-0.0014199+0.031004i,0.0031743-0.042939i,-0.010069+0.075359i,0.26351-0.9332i,0.047161-0.059239i,-0.08086+0.013531i,-0.17035-0.022004i,0.054232-0.0003698i,-0.059664+0.01268i,-0.10278-0.013227i
-0.013515+0.0016162i,0.016119-0.0021646i,-0.019914+0.0029157i,0.026027-0.003991i,-0.03774+0.0056331i,0.070538-0.0084425i,-0.96476+0.021608i,-0.075187-0.022443i,0.040568+0.068109i,0.018212+0.17609i,-0.0084039-0.058253i,0.022701+0.059717i,0.036987+0.090193i
0.0013446+0.013487i,-0.0024214-0.015898i,0.0040245+0.019402i,-0.0066025-0.025043i,0.011363+0.035892i,-0.02349-0.066571i,0.30195+0.91662i,0.0071556+0.075915i,0.046888-0.05492i,0.17267-0.067401i,-0.061893+0.026916i,0.058678-0.042776i,0.057343-0.066708i
0.00081214-0.0082126i,-0.00026769+0.0096943i,-0.00063575-0.012055i,0.0022507+0.016262i,-0.005566-0.025281i,0.014986+0.053653i,-0.25589-0.9103i,-0.016355-0.10148i,-0.022289+0.10005i,-0.13714+0.097423i,0.062327-0.0034197i,-0.070411-0.020851i,-0.047812-0.077627i
-0.0040262-0.0011143i,0.0050785+0.00030124i,-0.0068438+0.0011017i,0.010141-0.0037187i,-0.017504+0.0093775i,0.041507-0.026619i,-0.7873+0.51146i,-0.097788+0.049727i,0.10775-0.011544i,0.12474+0.11251i,-0.013973-0.066342i,-0.005979+0.082157i,-0.04105+0.063402i
-0.0054207+0.0039471i,0.0046256-0.0047306i,-0.0030855+0.0060267i,-3.6192e-05-0.0084339i,0.0072374+0.013832i,-0.030419-0.03169i,0.71488+0.59944i,0.0847+0.078262i,-0.050581-0.098731i,0.086255-0.15252i,-0.072519+0.034211i,0.094486-0.021798i,0.056755+0.01222i
0.0099709+0.0082382i,-0.010774-0.0074488i,0.011883+0.0058128i,-0.013628-0.0023534i,0.017073-0.0058761i,-0.027725+0.033065i,0.36655-0.85528i,0.041678-0.10989i,-0.070637+0.082463i,-0.182-0.049829i,0.06616+0.068702i,-0.06387-0.093161i,0.0010832-0.043152i
0.0043334-0.018811i,-0.0032548+0.019747i,0.0012574-0.020773i,0.0026966+0.021923i,-0.011748-0.023345i,0.041105+0.026087i,-0.92724-0.10552i,-0.11512+0.003993i,0.095881+0.03119i,0.0039485+0.20473i,0.044242-0.10026i,-0.066065+0.10842i,-0.038525-0.0021735i
-0.023889+0.007171i,0.024718-0.0088648i,-0.025386+0.011518i,0.025624-0.016147i,-0.024639+0.025812i,0.018907-0.055377i,0.16866+0.92588i,0.045132+0.09821i,-0.0056476-0.088011i,0.20679-0.07307i,-0.12021+0.0010596i,0.13607+0.013327i,-4.9707e-05+0.047485i
